fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o,COI Score
1,35,Boston,1,0,0.0,0,537826,256886,280940,86666,397763,53397,257973,114213,1076,49770,156,7996,13021,93621,98304,41377,24642,17374,8584,3546,2781,125752,85866,28158,7143,3137,925,324,199,259822.0,27338.0,18126.0,11513.0,10520.0,8304.0,8649.0,7270.0,8584.0,6857.0,14333.0,20117.0,26133.0,23193.0,17038.0,21677.0,30170.0,4.179043233526589
2,73,Dedham,1,0,0.0,1,24852,12030,12822,5190,15106,4556,21124,1283,46,648,4,74,307,1366,6337,2674,1482,1349,558,182,92,3336,2763,500,47,18,4,4,0,10326.0,265.0,230.0,381.0,316.0,280.0,385.0,288.0,256.0,230.0,557.0,836.0,1211.0,859.0,843.0,1587.0,1802.0,7.0021731971736525
3,100,Framingham,1,0,86.3575001236447,1,25686,12823,12863,5542,18027,2117,11030,1983,61,1382,14,2943,1534,6739,5523,1910,1567,1124,567,217,138,4452,3273,777,216,106,49,19,12,9047.0,769.0,575.0,302.0,486.0,397.0,491.0,547.0,368.0,268.0,882.0,1108.0,1169.0,722.0,455.0,387.0,121.0,4.442512941053062
4,141,Hudson,1,0,0.0,0,19063,9403,9660,4347,11985,2731,16945,276,13,426,0,250,339,814,5131,2127,1184,1171,430,141,78,2397,1946,378,49,19,4,1,0,7686.0,140.0,176.0,332.0,192.0,200.0,352.0,239.0,226.0,231.0,581.0,634.0,1059.0,786.0,800.0,978.0,760.0,4.911265564402992
5,107,Gloucester,1,0,3.34465474459346,1,28310,13593,14717,5301,18026,4983,26639,196,28,251,16,99,299,782,7385,3439,1783,1367,551,170,75,4848,3987,762,74,16,8,1,0,12480.0,565.0,626.0,706.0,702.0,474.0,464.0,523.0,522.0,384.0,933.0,1146.0,1716.0,1060.0,840.0,941.0,878.0,4.882553468566851
6,136,Holliston,1,0,0.0,1,13461,6642,6819,3608,8237,1616,12562,116,12,330,2,61,133,245,3833,1444,896,1016,366,81,30,1031,854,155,11,7,1,2,1,5278.0,57.0,63.0,157.0,93.0,41.0,146.0,62.0,91.0,130.0,285.0,253.0,603.0,653.0,463.0,871.0,1310.0,7.60023704547578
7,262,Saugus,1,0,0.0,1,26438,12585,13853,5061,16737,4640,23712,510,28,706,1,128,307,1046,7096,2886,1731,1482,653,242,102,3137,2639,433,50,11,2,2,0,10429.0,422.0,518.0,409.0,196.0,403.0,235.0,314.0,418.0,309.0,540.0,956.0,1583.0,1217.0,929.0,1081.0,899.0,5.167326669753855
8,163,Lynn,1,0,38.8049023782738,1,62515,30769,31746,16094,39627,6794,24330,7488,138,5157,28,287,1405,23682,13954,4394,3258,2857,1682,887,876,9226,7753,1205,152,57,36,10,13,22621.0,2872.0,1864.0,1121.0,1127.0,863.0,981.0,1295.0,1089.0,760.0,1407.0,2036.0,2708.0,1715.0,1116.0,1211.0,456.0,1.5870207379520538
9,177,Medway,1,0,0.0,1,12754,6207,6547,3586,7839,1329,11925,124,20,277,1,10,146,251,3443,1140,841,914,381,128,39,991,828,139,20,3,1,0,0,4691.0,96.0,101.0,74.0,140.0,41.0,107.0,166.0,114.0,14.0,183.0,243.0,455.0,726.0,350.0,857.0,1024.0,7.6528040931689345
10,207,Newton,1,0,77.1680474686319,1,26822,12309,14513,5197,17291,4334,20137,846,24,3794,8,134,543,1336,6407,2790,1684,1322,436,124,51,5464,4191,937,213,87,25,7,4,9579.0,251.0,185.0,188.0,226.0,314.0,285.0,204.0,196.0,225.0,433.0,863.0,1089.0,936.0,717.0,1275.0,2192.0,8.803426529646813
11,198,Natick,1,0,92.6628460685157,1,7462,3549,3913,1250,5441,771,5659,245,14,943,2,91,175,333,1712,812,484,305,84,19,8,2009,1636,318,39,13,1,2,0,2700.0,87.0,62.0,41.0,80.0,112.0,123.0,75.0,115.0,56.0,343.0,244.0,300.0,343.0,203.0,216.0,300.0,7.749540777045674
12,208,Norfolk,1,0,0.0,1,8977,4514,4463,2580,5520,877,8618,60,6,119,0,5,71,98,2552,910,583,656,309,70,24,493,378,101,9,2,2,0,1,3149.0,49.0,20.0,61.0,20.0,67.0,47.0,15.0,30.0,81.0,103.0,162.0,271.0,374.0,333.0,443.0,1073.0,7.665785382714622
13,23,Bedford,1,0,0.0,1,12606,6273,6333,3003,7157,2446,10728,239,17,1139,1,9,195,278,3476,1475,792,842,265,75,27,1332,1169,139,12,6,4,0,2,5230.0,112.0,107.0,58.0,72.0,75.0,123.0,88.0,147.0,114.0,248.0,337.0,677.0,351.0,410.0,644.0,1667.0,6.908172181584092
14,264,Scituate,1,0,0.0,1,18133,8689,9444,4560,10459,3114,17277,98,13,132,7,198,217,191,4926,2035,1049,1064,538,177,63,1933,1675,225,19,10,4,0,0,7146.0,178.0,361.0,255.0,75.0,186.0,134.0,179.0,168.0,137.0,339.0,320.0,770.0,608.0,724.0,793.0,1919.0,8.014320200086217
15,284,Stoneham,1,0,0.0,1,21292,10077,11215,4227,13123,3942,19279,327,15,723,4,83,228,633,5586,2363,1360,1206,470,126,61,3322,2823,465,26,7,1,0,0,9241.0,341.0,358.0,163.0,178.0,291.0,233.0,327.0,412.0,249.0,464.0,671.0,1270.0,1042.0,842.0,986.0,1414.0,6.439813449935237
16,285,Stoughton,1,0,87.6513548739784,1,9159,4399,4760,1797,5910,1452,7070,1019,18,261,1,204,219,367,2342,1033,573,467,163,69,37,1597,1309,244,35,7,2,0,0,4292.0,224.0,209.0,162.0,160.0,233.0,200.0,182.0,207.0,226.0,254.0,446.0,646.0,405.0,244.0,255.0,239.0,5.189358408520749
17,2,Acton,1,0,3.39519044960655,1,21137,10425,10712,6097,12892,2148,15989,230,13,3879,3,156,326,541,5761,1961,1434,1655,568,117,26,2043,1716,295,19,10,3,0,0,8628.0,213.0,339.0,165.0,131.0,175.0,121.0,148.0,118.0,119.0,366.0,445.0,689.0,723.0,1059.0,1116.0,2701.0,7.143225440936126
18,305,Wakefield,1,0,1.35775662730308,1,24310,11682,12628,5220,15497,3593,22610,208,21,641,0,26,240,564,6376,2599,1555,1397,602,171,52,3399,2776,529,67,16,8,0,3,10131.0,347.0,258.0,296.0,283.0,210.0,303.0,296.0,283.0,265.0,645.0,949.0,1162.0,1164.0,942.0,1184.0,1544.0,7.2257577793054715
19,307,Walpole,1,0,90.5154437846051,1,5684,2696,2988,1236,3360,1088,5186,116,2,178,0,18,39,145,1453,666,326,278,133,35,15,1088,933,130,17,4,4,0,0,1350.0,0.0,98.0,37.0,49.0,78.0,30.0,34.0,47.0,54.0,84.0,178.0,152.0,121.0,64.0,108.0,216.0,7.816984694244919
20,315,Wayland,1,0,0.0,1,12858,6213,6645,3525,7259,2074,10950,101,4,1280,2,21,185,315,3632,1401,835,906,369,103,18,1105,949,135,13,4,2,2,0,4943.0,129.0,75.0,122.0,62.0,81.0,83.0,76.0,56.0,63.0,64.0,267.0,318.0,409.0,425.0,562.0,2151.0,9.314632890543495
21,30,Beverly,1,0,28.5679848284158,1,23743,11207,12536,4368,16340,3035,21207,443,32,479,19,152,348,1063,5180,2246,1334,1007,431,113,49,4312,3344,753,127,63,15,4,6,12272.0,532.0,778.0,605.0,584.0,493.0,474.0,327.0,420.0,446.0,695.0,839.0,1533.0,956.0,989.0,1057.0,1544.0,5.69984665552767
22,67,Concord,1,0,0.0,1,16546,7845,8701,3986,9019,3541,15009,224,7,701,0,30,211,364,4490,1977,998,999,378,112,26,1994,1763,210,13,4,1,2,1,6751.0,230.0,137.0,41.0,123.0,105.0,102.0,111.0,81.0,109.0,388.0,345.0,489.0,627.0,668.0,890.0,2305.0,8.512588475538875
23,317,Wellesley,1,0,84.0042266891497,1,5324,1642,3682,399,4425,500,3356,370,12,961,1,17,182,425,447,252,68,84,29,9,5,440,389,44,5,2,0,0,0,221.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,29.0,12.0,9.0,143.0,9.284167826857527
24,344,Winchester,1,0,79.8977493230552,1,6716,3162,3554,1660,3939,1117,5187,142,5,1022,1,19,180,160,1698,621,418,468,132,43,16,984,877,94,7,6,0,0,0,2642.0,29.0,107.0,78.0,67.0,49.0,98.0,89.0,58.0,43.0,204.0,210.0,187.0,273.0,225.0,365.0,560.0,8.71848263676916
25,40,Braintree,1,0,0.0,1,35710,16855,18855,8160,21481,6069,30447,911,46,2687,10,237,484,888,9206,3496,2267,1973,1001,325,144,4520,3756,673,57,21,11,1,1,14074.0,533.0,375.0,450.0,468.0,471.0,349.0,352.0,311.0,491.0,583.0,999.0,2022.0,1422.0,1523.0,1665.0,2060.0,7.45385267677531
26,46,Brookline,1,0,69.4747089270653,1,45251,20061,25190,7203,32698,5350,32494,1386,34,7555,12,142,1212,2416,9122,4297,2326,1767,547,131,54,11320,7454,2202,972,520,131,26,15,19057.0,1382.0,694.0,377.0,301.0,304.0,626.0,521.0,366.0,362.0,777.0,1421.0,2080.0,1798.0,1923.0,2280.0,3845.0,7.826976980592396
27,49,Cambridge,1,0,0.0,1,105170,51114,54056,12029,83152,9989,65272,11589,159,15820,31,575,3757,7967,17421,9085,4348,2592,950,283,163,26616,17934,6231,1686,590,119,40,16,46184.0,3414.0,1901.0,1369.0,1313.0,1277.0,1282.0,1197.0,1187.0,889.0,1945.0,3179.0,5034.0,4739.0,3624.0,5218.0,8616.0,7.678857142866754
28,50,Canton,1,0,0.0,1,21377,10113,11264,5064,12796,3517,17777,1295,17,1312,1,80,300,595,5696,2212,1397,1310,542,179,56,2662,2258,359,31,9,4,1,0,9021.0,312.0,373.0,203.0,158.0,187.0,172.0,68.0,260.0,153.0,372.0,888.0,1171.0,911.0,755.0,1107.0,1931.0,7.399001983708613
29,144,Ipswich,1,0,0.0,1,13162,6270,6892,2780,8035,2347,12460,61,12,174,6,53,164,232,3554,1598,819,765,276,73,23,1902,1571,294,24,12,1,0,0,5683.0,257.0,187.0,265.0,203.0,159.0,172.0,190.0,166.0,120.0,357.0,375.0,778.0,633.0,350.0,579.0,892.0,5.742733785668448
30,142,Hull,1,0,81.2814264475629,1,1929,901,1028,229,1286,414,1810,17,10,20,0,5,31,36,450,276,97,49,14,9,5,631,548,72,9,2,0,0,0,1059.0,0.0,31.0,27.0,55.0,7.0,85.0,34.0,29.0,31.0,51.0,100.0,236.0,70.0,122.0,76.0,105.0,5.13006552372633
31,48,Burlington,1,0,89.9046508368596,1,1080,517,563,145,839,96,767,52,0,181,0,5,27,48,267,156,68,30,11,2,0,304,232,71,1,0,0,0,0,797.0,87.0,10.0,21.0,27.0,11.0,10.0,50.0,11.0,9.0,12.0,50.0,159.0,54.0,88.0,82.0,116.0,7.010384136694444
32,170,Marlborough,1,0,0.0,1,38535,19080,19455,8330,25361,4844,28983,982,52,1929,16,1383,1013,4177,9685,3935,2420,2065,823,268,174,5725,4413,1106,121,51,23,6,5,15718.0,421.0,381.0,547.0,560.0,533.0,529.0,622.0,589.0,679.0,1033.0,1565.0,2005.0,2010.0,1158.0,1643.0,1443.0,3.9251008524531867
33,243,Quincy,1,0,40.9768195693939,1,58499,28012,30487,8800,40873,8826,34911,3335,95,15945,12,619,1209,2373,12481,5458,3258,2221,902,379,263,14930,11822,2619,356,89,30,5,9,26330.0,1674.0,1492.0,1269.0,1251.0,1009.0,945.0,578.0,872.0,865.0,1978.0,2481.0,3655.0,3133.0,1562.0,2045.0,1521.0,4.792030430338744
34,92,Essex,1,0,0.148950953145011,1,3318,1663,1655,780,2074,464,3190,9,0,32,1,3,37,46,870,354,194,207,69,35,11,461,375,78,7,1,0,0,0,1430.0,63.0,39.0,22.0,18.0,36.0,12.0,66.0,48.0,51.0,89.0,97.0,40.0,286.0,97.0,136.0,330.0,7.0965351984626315
35,171,Marshfield,1,0,0.0,1,25058,12197,12861,6284,15390,3384,24064,107,35,173,4,130,230,315,6860,2691,1602,1582,714,214,57,2634,2139,452,26,13,4,0,0,9545.0,514.0,280.0,301.0,209.0,191.0,389.0,172.0,316.0,326.0,491.0,665.0,1028.0,1079.0,949.0,1524.0,1111.0,6.5186796058116405
36,10,Arlington,1,0,66.8365256219994,1,20733,9562,11171,3570,14067,3096,16464,663,18,2175,5,82,471,855,4799,2291,1273,920,228,56,31,5535,4414,976,98,34,8,4,1,9552.0,383.0,259.0,254.0,286.0,270.0,242.0,319.0,173.0,322.0,552.0,595.0,1280.0,1060.0,858.0,1228.0,1471.0,9.37745127265387
37,119,Hamilton,1,0,0.0,1,7772,3819,3953,2106,4721,945,7095,42,12,421,0,5,76,121,2171,784,534,548,233,59,13,524,422,88,9,4,0,1,0,2658.0,170.0,44.0,87.0,57.0,47.0,140.0,30.0,47.0,34.0,115.0,142.0,242.0,132.0,242.0,439.0,690.0,
38,101,Franklin,1,0,0.0,1,31294,15356,15938,8970,19408,2916,28658,409,18,1149,4,45,404,607,8150,2619,1932,2303,954,233,109,2660,2194,421,37,7,1,0,0,11655.0,230.0,328.0,225.0,202.0,339.0,256.0,262.0,206.0,183.0,575.0,742.0,1458.0,1315.0,1133.0,1721.0,2480.0,7.332868076591891
39,189,Milton,1,0,98.1117177171913,1,528,178,350,12,36,480,501,16,0,2,1,0,4,4,130,119,6,4,1,0,0,245,239,6,0,0,0,0,0,254.0,0.0,14.0,0.0,0.0,12.0,11.0,43.0,15.0,12.0,0.0,33.0,26.0,23.0,0.0,12.0,53.0,6.478920606931528
40,131,Hingham,1,0,0.0,1,21736,10208,11528,5941,11478,4317,20764,99,31,321,8,36,242,235,5869,2381,1176,1327,740,197,48,2381,2164,196,10,9,0,2,0,8743.0,309.0,185.0,265.0,234.0,247.0,209.0,218.0,178.0,184.0,372.0,523.0,524.0,724.0,569.0,1000.0,3002.0,8.109906189005308
41,168,Marblehead,1,0,88.4360937594057,1,4528,2010,2518,839,2850,839,4225,61,6,47,0,10,48,131,1089,572,242,200,59,12,4,1300,1152,138,7,2,1,0,0,1965.0,103.0,110.0,45.0,34.0,39.0,52.0,39.0,132.0,85.0,105.0,137.0,222.0,164.0,150.0,88.0,460.0,8.93471492232562
42,14,Ashland,1,0,85.0623965152113,1,4719,2225,2494,842,3245,632,3670,114,10,505,0,94,74,252,1210,577,331,215,56,23,8,1003,816,160,17,6,3,0,1,1180.0,33.0,27.0,34.0,28.0,0.0,0.0,41.0,14.0,0.0,48.0,174.0,167.0,158.0,121.0,258.0,77.0,6.379356561776853
43,133,Holbrook,1,0,0.0,1,10701,5211,5490,2355,6773,1573,8643,912,22,304,2,108,236,474,2815,1029,741,614,257,113,61,1255,1031,206,13,4,0,1,0,4122.0,97.0,126.0,84.0,193.0,122.0,207.0,217.0,204.0,109.0,275.0,590.0,396.0,631.0,322.0,280.0,269.0,3.6980111138385414
44,298,Topsfield,1,0,98.9609131510746,1,60,34,26,20,39,1,60,0,0,0,0,0,0,0,15,4,4,4,2,1,0,8,8,0,0,0,0,0,0,259.0,0.0,0.0,0.0,29.0,0.0,0.0,15.0,0.0,14.0,16.0,13.0,15.0,0.0,30.0,32.0,95.0,6.130094663349897
45,251,Rockland,1,0,54.1779845738064,1,11077,5339,5738,2402,7257,1418,9991,275,18,125,4,248,196,220,2788,1057,715,601,259,109,47,1433,1102,275,39,13,3,1,0,4234.0,140.0,118.0,181.0,30.0,183.0,255.0,114.0,184.0,177.0,342.0,323.0,392.0,797.0,264.0,409.0,325.0,4.802629815152099
46,220,Norwood,1,0,57.1573679007298,1,16880,8089,8791,3387,10993,2500,13169,1116,29,1178,2,157,297,932,4012,1645,1100,826,287,112,42,3444,2726,620,68,17,8,4,1,6571.0,347.0,327.0,264.0,342.0,96.0,155.0,104.0,265.0,255.0,346.0,741.0,1028.0,872.0,513.0,465.0,451.0,6.880907075977799
47,157,Lincoln,1,0,97.4919036334278,1,336,151,185,29,153,154,304,1,2,20,0,3,4,2,101,80,13,6,2,0,0,95,87,8,0,0,0,0,0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,12.0,42.0,61.0,25.0,0.0,23.0,162.0,8.041346680181011
48,155,Lexington,1,0,51.7782625815056,1,18820,8929,9891,4978,10522,3320,14507,219,9,3215,1,42,430,397,5303,2026,1314,1322,485,117,39,1579,1400,156,14,5,3,1,0,6817.0,175.0,62.0,192.0,77.0,83.0,103.0,156.0,63.0,62.0,252.0,312.0,457.0,496.0,407.0,902.0,3018.0,8.69601438878589
49,184,Middleton,1,0,23.7871795618028,1,8656,4848,3808,1809,5657,1190,7528,153,13,192,0,15,118,637,2000,769,409,510,232,58,22,802,666,121,8,5,1,0,1,2539.0,71.0,57.0,15.0,146.0,17.0,33.0,109.0,17.0,28.0,151.0,163.0,510.0,330.0,206.0,210.0,476.0,5.3315050720496675
50,158,Littleton,1,0,0.0,1,8922,4289,4633,2343,5334,1245,8237,46,6,350,0,12,150,121,2408,900,585,603,224,73,23,888,724,141,18,2,0,2,1,3559.0,64.0,94.0,91.0,145.0,84.0,61.0,117.0,61.0,92.0,152.0,244.0,256.0,439.0,321.0,492.0,846.0,6.009236087988023
51,164,Lynnfield,1,0,0.0,1,11602,5662,5940,2938,6617,2047,10843,48,5,379,0,30,95,202,3269,1253,726,791,368,100,31,912,784,111,10,5,2,0,0,4496.0,70.0,34.0,92.0,90.0,120.0,87.0,74.0,97.0,67.0,255.0,338.0,403.0,412.0,409.0,734.0,1214.0,7.425913510032913
52,175,Medfield,1,0,0.0,1,12024,5828,6196,3763,6889,1372,11293,72,8,325,0,15,131,180,3333,1107,742,915,438,107,24,784,698,80,4,1,1,0,0,4153.0,119.0,92.0,63.0,91.0,70.0,37.0,61.0,63.0,66.0,144.0,191.0,306.0,286.0,375.0,628.0,1561.0,7.8708737102987385
53,165,Malden,1,0,0.0,1,59932,29010,30922,11757,41155,7020,31513,8509,76,12011,14,1256,1536,5017,14444,5400,3812,2909,1401,551,371,9468,7189,1718,373,145,34,5,4,22996.0,2008.0,1540.0,735.0,728.0,902.0,1058.0,759.0,1042.0,902.0,1136.0,2569.0,3021.0,2342.0,1346.0,1715.0,1193.0,4.125487262223429
54,178,Melrose,1,0,28.8664567790849,1,23154,10846,12308,5011,14427,3716,20670,595,10,839,1,99,359,581,6005,2449,1552,1348,488,119,49,3804,3237,531,24,9,3,0,0,9763.0,314.0,321.0,255.0,531.0,246.0,356.0,251.0,335.0,202.0,605.0,670.0,945.0,975.0,908.0,1495.0,1354.0,8.176781123615706
55,199,Needham,1,0,85.0046565163045,1,3237,1429,1808,621,1595,1021,2786,60,0,242,0,9,52,88,702,321,150,158,53,12,8,752,684,60,4,4,0,0,0,1454.0,58.0,27.0,16.0,0.0,15.0,88.0,14.0,24.0,8.0,28.0,46.0,87.0,109.0,145.0,208.0,581.0,9.167124443698007
56,166,Manchester,1,0,95.4114385330929,1,1184,518,666,265,712,207,1149,1,0,4,0,1,6,23,318,155,72,66,20,4,1,238,217,19,1,0,1,0,0,258.0,0.0,0.0,0.0,52.0,0.0,16.0,15.0,15.0,0.0,0.0,38.0,16.0,0.0,15.0,23.0,68.0,8.040247675844993
57,185,Milford,1,0,87.2219333821032,0,10321,5270,5051,2259,6859,1203,7781,219,15,130,1,533,270,1372,2478,923,690,521,202,85,57,1770,1374,293,60,27,12,4,0,2615.0,113.0,99.0,173.0,70.0,117.0,114.0,120.0,129.0,121.0,252.0,289.0,429.0,338.0,110.0,96.0,45.0,5.492712999480787
58,176,Medford,1,0,53.1486772471564,1,33346,15866,17480,5121,23585,4640,23333,3948,56,2531,5,774,925,1774,7282,3221,1943,1302,529,182,105,6815,4725,1511,353,165,48,8,5,14750.0,711.0,384.0,471.0,495.0,368.0,503.0,453.0,494.0,499.0,1069.0,1241.0,1730.0,2034.0,1340.0,1553.0,1405.0,4.7955157583373325
59,336,Weymouth,1,0,80.6151538801345,1,8620,3825,4795,1578,5856,1186,6412,809,37,418,0,251,276,417,1847,932,491,277,98,27,22,2715,2252,429,26,7,0,1,0,3089.0,108.0,187.0,18.0,83.0,149.0,142.0,62.0,128.0,131.0,291.0,434.0,617.0,191.0,230.0,191.0,127.0,5.645300011326419
60,57,Chelsea,1,0,0.0,1,35177,17898,17279,8899,23203,3075,8882,2341,55,1052,2,423,567,21855,7375,1960,1662,1552,987,604,610,4456,3465,728,127,65,43,12,16,13151.0,1030.0,913.0,572.0,687.0,882.0,681.0,433.0,599.0,389.0,967.0,1485.0,1559.0,1069.0,632.0,718.0,535.0,1.9949860405618773
61,174,Maynard,1,0,82.0906797437867,1,3178,1545,1633,670,2238,270,2756,71,5,75,0,19,47,205,757,289,221,171,59,10,7,672,540,110,20,1,0,0,1,287.0,17.0,0.0,18.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,31.0,92.0,13.0,25.0,62.0,16.0,5.791294925910481
62,213,North Reading,1,0,1.14132175659971,1,14589,7182,7407,3740,9047,1802,13706,80,16,391,0,24,144,228,3941,1407,919,1014,445,112,44,1332,1102,199,22,6,3,0,0,5412.0,46.0,98.0,78.0,74.0,77.0,69.0,107.0,69.0,51.0,450.0,420.0,643.0,468.0,588.0,918.0,1256.0,8.1363960895875
63,229,Peabody,1,0,89.0655598963908,1,14140,6728,7412,2661,9223,2256,10851,456,13,346,3,436,236,1799,3467,1539,919,639,255,76,39,3016,2481,463,55,15,2,0,0,4146.0,279.0,248.0,326.0,340.0,223.0,275.0,169.0,177.0,176.0,475.0,358.0,437.0,313.0,126.0,124.0,100.0,3.8758351767533417
64,187,Millis,1,0,88.9074700068768,1,3241,1540,1701,753,2080,408,2932,39,17,128,0,14,52,59,836,339,201,216,60,14,6,520,431,78,6,4,1,0,0,604.0,12.0,0.0,13.0,55.0,0.0,0.0,32.0,35.0,36.0,43.0,20.0,84.0,89.0,56.0,61.0,68.0,6.635776916948053
65,248,Revere,1,0,2.81379785413883,1,50093,24585,25508,10227,32626,7240,30906,2200,58,2808,6,781,866,12468,11931,4297,3027,2410,1234,532,431,7825,6341,1186,193,67,18,14,6,19629.0,1418.0,1112.0,1194.0,587.0,861.0,1062.0,885.0,1095.0,824.0,1454.0,2077.0,2143.0,1815.0,1256.0,1079.0,767.0,3.138561266999782
66,269,Sherborn,1,0,99.8685208481675,1,82,32,50,19,34,29,77,0,0,4,0,0,0,1,17,7,3,4,3,0,0,27,26,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,7.636766884932503
67,246,Reading,1,0,97.8664559078424,1,578,291,287,120,379,79,517,5,0,23,3,2,19,9,129,52,29,35,7,6,0,149,129,17,0,2,1,0,0,583.0,46.0,0.0,13.0,25.0,28.0,0.0,0.0,14.0,28.0,54.0,69.0,125.0,47.0,18.0,35.0,81.0,7.341482665862494
68,219,Norwell,1,0,0.0,1,10381,5001,5380,2995,5839,1547,9887,63,7,181,0,19,96,128,2846,1029,609,696,367,104,41,709,607,89,5,6,0,2,0,3674.0,92.0,97.0,75.0,60.0,38.0,104.0,19.0,51.0,59.0,142.0,298.0,198.0,341.0,228.0,626.0,1246.0,7.012061150190548
69,266,Sharon,1,0,98.4283190307621,1,913,417,496,258,513,142,803,30,0,32,0,8,13,27,232,76,67,56,21,8,4,142,133,7,1,1,0,0,0,320.0,34.0,18.0,0.0,0.0,0.0,14.0,0.0,31.0,21.0,8.0,37.0,26.0,9.0,9.0,75.0,38.0,8.256413226494425
70,231,Pembroke,1,0,96.3995633123408,1,202,94,108,30,129,43,192,0,0,5,0,0,4,1,57,29,11,15,2,0,0,32,24,7,1,0,0,0,0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,58.0,14.0,73.0,34.0,103.0,7.111257304704556
71,26,Belmont,1,0,75.0166180336951,1,12159,5621,6538,2540,7895,1724,9171,377,11,1759,3,53,326,459,3042,1294,871,617,174,65,21,2199,1644,454,75,17,3,3,3,3632.0,148.0,130.0,75.0,61.0,87.0,81.0,80.0,157.0,124.0,196.0,377.0,522.0,350.0,317.0,405.0,522.0,9.677596334866443
72,274,Somerville,1,0,0.0,1,73360,35993,37367,9055,57448,6857,50732,4780,90,6179,16,1673,2024,7866,13299,5945,3426,2311,947,381,289,18492,10135,5022,1971,976,294,63,31,32851.0,1559.0,1268.0,920.0,1071.0,935.0,765.0,766.0,760.0,855.0,2137.0,2326.0,4226.0,4111.0,3111.0,4019.0,4022.0,4.132810978648204
73,244,Randolph,1,0,97.781328489833,1,2415,1061,1354,572,1653,190,587,1428,12,102,0,20,106,160,618,283,190,94,36,9,6,517,428,79,6,3,1,0,0,292.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,5.0,0.0,22.0,29.0,40.0,25.0,68.0,11.0,76.0,2.969080622040003
74,252,Rockport,1,0,73.2090725946021,1,4554,2081,2473,763,2752,1039,4381,26,3,40,4,3,30,67,1205,655,235,197,90,23,5,999,882,110,4,3,0,0,0,1508.0,105.0,23.0,117.0,64.0,16.0,41.0,44.0,67.0,65.0,71.0,123.0,263.0,102.0,113.0,117.0,177.0,5.677920535359306
75,25,Bellingham,1,0,0.0,1,16314,7924,8390,3855,10555,1904,14970,214,10,473,3,38,197,409,4472,1709,1139,1039,400,126,59,1675,1318,306,39,7,4,1,0,6430.0,178.0,123.0,87.0,197.0,221.0,85.0,271.0,246.0,155.0,257.0,537.0,878.0,685.0,896.0,881.0,733.0,5.745798422329706
76,258,Salem,1,0,69.1355227351497,1,27439,12689,14750,5181,18963,3295,19685,1061,51,658,11,124,531,5318,6128,2860,1530,1067,442,132,97,6444,4941,1217,194,67,18,3,4,9194.0,725.0,686.0,487.0,401.0,683.0,248.0,254.0,398.0,356.0,531.0,881.0,1009.0,970.0,541.0,628.0,396.0,3.8721461250978
